Chapter,Question,OptionA,OptionB,OptionC,OptionD,Answer
Chapter01,"What effect does the addition of extra syllables to a word (e.g., speed to speedily) have on the length of the stressed vowel?",The vowel becomes progressively longer.,The vowel remains unchanged.,The vowel becomes progressively shorter.,The vowel changes quality to [E].,C
Chapter01,Which class of English words is most prone to phonetic reduction (using weak forms) in connected speech?,Nouns,Verbs,Content words,Closed-class words,D
Chapter01,"When the nasal [n] in the phrase in the changes to a dental [n1] due to the influence of the following dental fricative [D], what process has occurred?",Lateral plosion,Anticipatory coarticulation/Assimilation,Free variation,Epenthesis,B
Chapter01,What is the primary physical characteristic that defines stress in a citation form syllable?,Highest pitch,Greatest loudness,Greater respiratory energy,Shortest vowel length,C
Chapter01,"In the noun–verb pair an ""insult vs. to in""sult, what function does the stress alternation serve?",To indicate emotional state,To distinguish between aspiration and lack thereof,To indicate the syntactic category of the word,To signal new information,C
Chapter01,"According to the text, what is the best way for a listener to reliably detect where stress occurs in a word?",Measuring the frequency of the vowel,Watching the speaker's lip movements,Trying to tap along with the beat of the word,Checking if the final consonant is released,C
Chapter01,"In the ToBI system, the last pitch accent in an intonational phrase is mandatory and is called the:",Boundary tone,Phrase accent,Downstepped high,Nuclear pitch accent,D
Chapter01,How are high pitch accents that are a little lower than the preceding high pitch represented in ToBI transcription (a phenomenon known as downdrift)?,As L* (Low star),As H+!H* (High plus downstepped high),As !H* (Downstepped high),As L+H* (Low plus high star),C
Chapter01,"In most neutral English intonation, the tonic accent (major pitch change) usually falls on which syllable?",The first syllable of the sentence,The syllable carrying the most respiratory energy,The last stressed syllable in the tone group,The last syllable of the sentence,C
Chapter01,"What feature of a sound spectrogram primarily indicates a vowel or nasal sound, as opposed to a stop or fricative?",A white gap followed by a thin vertical stripe,Dark patches near the top of the spectrogram,Anywhere from two to five roughly parallel horizontal dark bands,A perfectly straight line,C
Chapter01,What system did J. C. Wells devise to help organize the comparison of vowel differences across the many accents of English?,Broad transcription,Lexical sets,ToBI system,Articulatory categories,B
Chapter02,What field is defined as the description of the systems and patterns of sounds that occur in a language?,Lexicography,Phonetics,Phonology,Acoustics,C
Chapter02,What type of phonetic transcription records all—and only—the variations between sounds that cause a difference in meaning?,Narrow transcription,Allophonic transcription,Broad transcription,Phonemic transcription,D
Chapter02,"When two words, such as cat and bat, differ in only a single sound, the sounds that differ are said to be:",In free variation,Noncontrastive,Distinctive,Allophones,C
Chapter02,What style of speech is used when transcribing words carefully to show someone how to pronounce them?,Connected speech,Citation style,Conversational speech,Impressionistic style,B
Chapter02,"When two phonetic variants (allophones) never appear in the same environment (e.g., syllable initial vs. syllable final [l]), they are in what type of distribution?",Free variation,Complementary distribution,Contrastive distribution,Phonemic distribution,B
Chapter02,The phonetic variation between the aspirated stop [pÓ] (as in peak) and the unaspirated stop [p] (as in speak) is an example of what?,Free variation,Contrastive distribution,Phonemic difference,Complementary distribution,D
Chapter02,"In English, what is the relationship between the two pronunciations of the final /t/ in hut, which may be released [hØtÓ] or unreleased [hØt}]?",Complementary distribution,Distinctive contrast,Free variation,Phonemic opposition,C
Chapter02,What is the IPA symbol for the voiced dental fricative found at the beginning of words like thy and them?,[T] (Theta),[S] (Esh),[D] (Eth),[N] (Eng),C
Chapter02,"What is the conventional name for the IPA symbol [S], which represents the voiceless palato-alveolar fricative in shy?",Long Z (Yogh),Lowercase j,Theta,Esh (or Long s),D
Chapter02,The velar nasal consonant found at the end of the word rang is written with which IPA symbol?,[n],[g],[N],[D] (Eth),C
Chapter02,The consonant sequences [tS] (as in church) and [dZ] (as in judge) are classified as what manner of articulation?,Stops,Fricatives,Approximants,Affricates,D
Chapter02,"Why does the IPA use the symbol [j] (lowercase j) for the initial sound in yes and yet, rather than the letter y?",To reserve [y] for a specific French vowel sound,Because it is a descender,It is only used in American English transcription,Because [y] is reserved for syllabic consonants,A
Chapter02,"What phonetic symbol is used to transcribe the glottal stop, as found at the beginning of ""vowel-initial"" words like east?",[®] (turned r),[∑] (inverted w),[ / ] (question mark-based symbol),[tS] (digraph),C
Chapter02,What diacritic is used to indicate that a sound represents a longer duration?,[ 1 ] (hook),[ 9 ] (small circle),[ … ] (triangular symbol),[ ~ ] (tilde),C
Chapter02,What is the IPA symbol used to transcribe the vowel in English words such as hid and sit?,[i],[I] (small capital I),[E] (schwa),[œ] (ash),B
Chapter02,Which two factors differentiate the vowel /i/ (as in heed) from the vowel /I/ (as in hid) in English?,Voicing and aspiration,Stress and nasality,Quality and length,Place and manner,C
Chapter02,Which phonetic vowel symbol is based on the Greek letter epsilon and used to transcribe the vowel in head?,[œ] (Ash),[i] (Lowercase i),[” ] (Epsilon),[Á] (Upsilon),C
Chapter02,"Which symbol is used to represent the most common unstressed vowel in English, found in words like sofa and among?",[u],[∏] (Reversed epsilon),[Á] (Upsilon),[E] (Schwa),D
Chapter02,"In a phonemic transcription, where is the stress mark ( [ "" ] ) typically placed in a polysyllabic word?",After the stressed syllable,Above the stressed vowel,Before the stressed syllable,At the end of the word,C
Chapter02,The symbol [∑] (an inverted w) is reserved in the IPA to transcribe which contrastive sound found in some accents of English?,The voiced tap,The glottal stop,The voiceless approximant 'w' (as in which),The velarized /l/,C
Chapter02,"The kind of transcription that aims to capture more phonetic detail, often through the use of diacritics, is called a(n):",Phonemic transcription,Impressionistic transcription,Broad transcription,Narrow transcription,D
Chapter02,"When alveolar consonants like /t/, /d/, or /n/ occur before a dental fricative (like [T] in tenth), they take on a dental articulation. What diacritic is used to mark this change?",[ 9 ] (small circle below),[ 1 ] (small hook below),[ : ] (tilde through center),[ … ] (triangular symbol),B
Chapter02,"What does the diacritic mark [ 9 ], a small circle placed beneath a symbol, indicate?",That the sound is longer,That the sound is dental,That the sound is voiceless,That the sound is velarized,C
Chapter02,What is the general rule for determining where vowels are plotted in the IPA vowel quadrilateral (chart)?,Based on the exact height and position of the tongue body,Based on acoustic and auditory qualities (how they sound relative to one another),Based on the degree of lip rounding,Based on the historical spelling of the word,B
Chapter02,What is the name of the system devised by J. C. Wells for organizing the comparison of vowel differences across various English accents?,ToBI System,Phonemic Sets,Lexical Sets,Auditory Space,C
Chapter02,Why is the letter x in the word Texas typically transcribed phonetically as [ks]?,Because [x] is reserved for a velar fricative,The letter x often represents a sequence of two sounds,To indicate a dental articulation,Because x is an affricate,B
Chapter02,"According to the consonant chart convention, when two symbols appear within a single cell, the one on the left represents which type of sound?",A nasal sound,A voiceless sound,A lateral sound,A voiced sound,B
Chapter02,"A transcription made when analyzing an unknown language, recording only the phonetic value of the sounds without determining if they are contrastive, is known as a(n):",Phonemic transcription,Impressionistic transcription,Narrow transcription,Allophonic transcription,B
Chapter02,What method is sometimes used to clearly distinguish an affricate [tS] from a consonant cluster [t S] in transcription?,Using a superscript [h],Using the symbol [ / ],Using the ligature symbol [ ° ],Using only lowercase letters,C
Chapter02,Which IPA symbol is used to transcribe the vowel in words like bud and hut (in accents where it differs from schwa)?,[œ] (Ash),[Á] (Upsilon),[Ø] (Wedge),[O] (Open O),C
Chapter03,"In nearly all speech sounds, the basic source of power is provided by which system?",The larynx,The respiratory system pushing air out of the lungs,The tongue,The oral tract,B
Chapter03,"What is the primary difference in articulatory gestures that distinguishes the stops [p], [t], and [k]?",Differences in voicing,Differences in lip position only,"Movements of the lips, tongue tip, and back of the tongue",Varying degrees of velic closure,C
Chapter03,What articulatory feature distinguishes the word pie from buy in initial position for most English speakers?,The stop in buy is fully voiced throughout the closure.,The stop in pie is fully velarized.,The stop in pie is released with a moment of aspiration.,The stop in buy is unreleased.,C
Chapter03,What is the IPA symbol used in narrow transcription to indicate aspiration?,[}],[™],[ʰ],[,]
Chapter03,"When alveolar stops, like /t/ or /d/, occur between two vowels, the second of which is unstressed (e.g., city), they typically become which type of sound in American English?",A voiceless glottal stop,An aspirated stop,A voiced tap [,],A lateral approximant
Chapter03,What is the major acoustic difference observable in the waveform between the initial stops in tie and die?,Tie has a smaller noise burst.,Die shows a longer vowel duration.,Tie has a noticeable increase in time between the stop release and the start of the vowel.,Die shows a longer closure duration.,C
Chapter03,"How do English stops that occur after /s/ (e.g., in spy, sty, sky) compare to initial stops like /p, t, k/?",They are fully voiced.,They are heavily aspirated.,They are completely unaspirated.,They are always glottalized.,C
Chapter03,"When comparing word pairs like mat and mad, what is the major acoustic cue used to distinguish them in syllable-final position?",The final consonant in mad is always fully voiced.,The vowel in mat is much shorter before the voiceless consonant.,The consonant closure in mad is significantly shorter.,The final consonant in mat is released with lateral plosion.,B
Chapter03,"When two sounds have the same place of articulation (e.g., [d] and [n] are alveolar), they are said to be what?",Sonorants,Obstruents,Homorganic,Allophones,C
Chapter03,"Which diacritic, a small raised mark, is used to symbolize a consonant that is unreleased (e.g., the final /t/ in cat pushed)?",[ʰ],[’],[}],[… ],C
Chapter03,What sound frequently occurs as a variant of /t/ when it precedes a syllabic nasal in words like beaten and kitten in many English accents?,Voiced alveolar stop,Lateral approximant,Glottal stop [ʔ],Affricate [tʃ],C
Chapter03,What type of release occurs when the air pressure built up behind an oral stop is released through the nose due to the lowering of the soft palate for the following nasal?,Oral plosion,Lateral plosion,Glottal stop,Nasal plosion,D
Chapter03,What is the phonetic symbol used to transcribe the glottal stop?,[®],[,],[’],[ʔ]
Chapter03,The rule that final voiceless stops and fricatives are longer than their corresponding voiced counterparts falls under the definition of what natural class of sounds?,Approximants,Vowels,Obstruents,Nasals,C
Chapter03,"Which phonetic process occurs when the air pressure built up during an alveolar stop release is directed over the sides of the tongue due to a following /l/ (e.g., in ladle or little)?",Anticipatory coarticulation,Nasal plosion,Velarization,Lateral plosion,D
Chapter03,"According to Rule (6) in the summary of allophones, voiceless obstruents are generally longer than their corresponding voiced obstruents in what position?",After /s/,At the beginning of a word,At the end of a syllable,Before a stressed vowel,C
Chapter03,"The articulatory gesture where the action of the lips is added to another primary articulation (e.g., rounding during /ʃ/) is called what?",Rhotacization,Velarization,Labialization,Nasalization,C
Chapter03,"What phenomenon involves gestural overlapping where a second gesture starts during the first gesture (e.g., slight lip rounding during the [t] of twin)?",Perseverative assimilation,Lateral plosion,Anticipatory coarticulation,Nasal plosion,C
Chapter03,Why is the exact location of the velar stop closure [g] more variable than the closures for [b] or [d] when adjacent to different vowels?,"Because [g] requires significant tongue body movement, competing with vowel gestures.",Because [g] is always voiceless.,Because velar stops are always aspirated.,Because [g] only occurs before back vowels.,A
Chapter03,"What secondary articulation is often observed when the lateral /l/ occurs at the end of a word like feel or ball, where the back of the tongue is arched upward?",Labialization,Aspiration,Velarization,Dentalization,C
Chapter03,"According to Rule (14), when an alveolar consonant occurs before a dental consonant (e.g., /n/ in tenth), what phonetic change usually occurs to the alveolar consonant?",It becomes a voiced tap.,It is omitted entirely.,It becomes dental (dentalization).,It becomes velarized.,C
Chapter03,What is the most reliable way for a listener to detect the presence of stress on a syllable in a word?,Measuring the absolute frequency (pitch),Counting the number of formants,Trying to tap along with the beat of the word,Checking the degree of lip rounding,C
Chapter03,Why does the velar nasal [ŋ] (as in rang) not typically occur at the beginning of an English word?,Because its articulation is too difficult to start a syllable.,Because it must be preceded by a stop.,It is historically derived from a sequence of /n/ and /g/.,It is limited to occurring before front vowels.,C
Chapter03,"What diacritic is used to indicate that a consonant, which is normally voiced, has become voiceless (e.g., the /l/ in play)?",[~] (tilde above),[:] (tilde through center),[°] (small circle below),[ʰ] (superscript h),C
Chapter03,"What is the term for the process in which a voiceless stop (e.g., /t/) is optionally inserted between a nasal and a voiceless fricative, causing prince to sound like prints?",Coarticulation,Deletion,Epenthesis,Assimilation,C
Chapter03,The rule that consonants are generally longer when at the end of a phrase (Rule 1) applies to which class of sounds?,All consonants,Only approximants,Only fricatives,Only voiced stops,A
Chapter03,What phenomenon is illustrated when the two instances of /t/ in white teeth result in a much longer stop closure than the single /t/ in why teeth?,Anticipatory coarticulation,Consonant shortening before an identical consonant,Epenthesis,Lateral plosion,B
Chapter03,The presence of a glottal stop between the two syllables of the utterance uh-uh [ʔØʔ] is crucial because it conveys which meaning?,Agreement (yes),Uncertainty,Emphasis,Negation (no),D
Chapter03,"When transcribing the allophone of /l/ that occurs after initial voiceless stops (as in play), what phonetic feature must be noted?",It is fully voiced,It is highly aspirated,It is at least partially voiceless,It is always dentalized,C
Chapter03,"What feature, described using the tilde symbol [~] placed above a vowel, is often extensive in syllables beginning and ending with a nasal consonant (e.g., man)?",Velarization,Aspiration,Nasalization,Rhotacization,C
Chapter04,"Why does this book often transcribe vowel pairs (like in sheep and ship) as [∫ip, ∫Ip] rather than [Si…p, Sip]?",To emphasize that length differences are non-contrastive.,To hide the quality differences between the vowels.,To emphasize the quality difference and let the reader infer the length difference.,To conform strictly to the IPA standard without diacritics.,C
Chapter04,What system did J. C. Wells devise for naming and organizing the comparison of vowel differences across the many accents of English?,The ToBI system,Articulatory categories,Lexical sets,Broad transcription standards,C
Chapter04,What type of phonetic description is problematic because it is difficult for speakers to reliably feel the position of their tongue body in their own speech?,Describing consonants by manner of articulation,Traditional articulatory descriptions of vowels,Acoustic descriptions of formants,Transcribing nasalization,B
Chapter04,Phoneticians often use the labels high/low and front/back for vowels primarily because these terms describe what?,The exact height and position of the tongue body.,The degree of muscular tension.,The relative auditory qualities (how they sound relative to one another).,The degree of lip rounding.,C
Chapter04,Which set of four vowels is often used to define the rough boundaries or corners of the auditory vowel space?,"[œ, E, O, Ø]","[i, I, u, Á]","[i, œ, A, u]","[eI, oÁ, aI, OI]",C
Chapter04,The MRI images in the source show that the vocal tract airway is smallest between the front of the tongue and the hard palate for which high front vowel?,[œ],[I],[i],[E],C
Chapter04,What auditory phenomenon is illustrated when a speaker glides smoothly and slowly from [œ] (had) toward [i] (he)?,The existence of a vowel continuum.,Assimilation.,Anticipatory coarticulation.,Vowel reduction.,A
Chapter04,Most speakers of British English distinguish three low back vowels that occur in which set of words?,"cot, caught, cut","balm, bomb, bought","heed, hid, head","boot, foot, butt",B
Chapter04,"What phonetic element often occurs in non-rhotic British English (Standard BBC English) diphthongs (e.g., in here and there), indicating that they glide toward a central vowel?",[u] (high back vowel),[E] (schwa),[i] (high front vowel),[Á] (mid-high back vowel),B
Chapter04,What special feature must be present in accents of English for them to be classified as rhotic?,The distinction between tense and lax vowels.,The pronunciation of [®] after a vowel.,The lack of a cot/caught merger.,The use of glottal stops for /t/.,B
Chapter04,The two distinct physical ways of producing r-coloring—raising the tongue tip (retroflex) or using a high bunched tongue position—both result in what similar physiological effect?,A lengthening of the vowel.,A constriction in the pharynx.,Full voicing of the vowel.,Labialization.,B
Chapter04,"What is the relationship between the tense vowel [eI] and the lax vowel [”], as in bait and bet?",The lax vowel [”] is longer and higher.,The tense vowel [eI] is shorter and more centralized.,"The lax vowel [”] is shorter, lower, and slightly more centralized.",They are indistinguishable in terms of quality.,C
Chapter04,Which group of English vowels is restricted in that they cannot appear in stressed open syllables?,Tense vowels,Diphthongs,Reduced vowels,Lax vowels,D
Chapter04,"When vowels occur in syllables closed by /®/ in American English, what happens regarding the tense/lax distinction?",Only tense vowels can occur.,Only lax vowels can occur.,The contrast in quality between a tense vowel and its nearest lax counterpart is neutralized.,Both tense and lax vowels become fully voiced.,C
Chapter04,"According to the rules of English Vowel Allophones, where is a given vowel longest, all other factors being equal?",In a syllable closed by a voiceless consonant.,When followed by a nasal.,In an open syllable.,In an unstressed syllable.,C
Chapter04,"What is the primary phonetic rule demonstrated by the words speed, speedy, and speedily, where the stressed vowel gets progressively shorter?",Vowels are shortest in words with more than two syllables.,Vowels are longer in open syllables.,Vowels are retracted before lateral sounds.,Vowels are nasalized when stressed.,A
Chapter04,The symbol [E] (schwa) is typically reserved for use in which type of syllable in English transcription?,Stressed open syllables.,Syllables closed by /l/.,Unstressed syllables.,Syllables containing the vowel [i].,C
Chapter04,"The existence of reduced vowels without a corresponding full vowel in a semantically related word (e.g., [E] in along) suggests that phonetic reduction should be seen as what?",A purely synchronic process.,An absolute phonetic rule.,A completed historical (diachronic) process.,A form of free variation.,C
Chapter04,"Which diphthong in English is unusual because its more prominent part occurs at the end, leading some to treat it as a C+V sequence?",[eI] (as in hay),[OI] (as in boy),[aÁ] (as in how),[ju] (as in cue),D
Chapter04,"What phonetic effect results when the front vowels [i, eI, œ] occur before a syllable-final velarized [:]?",They become completely nasalized.,They become considerably retracted.,They become significantly shortened.,They become voiceless.,B
Chapter04,"When two accents of English have the same vowel system (same number of contrasts) but use those vowels in different words (e.g., /œ/ vs /A/ in castle), this difference is known as a difference in:",Vowel quality.,Distribution.,Rhoticity.,Lexical set size.,B
Chapter04,The contrast between the vowels in cot and caught ([A] and [O]) is often lost among speakers in which region?,Eastern American speakers.,Midwestern and Western United States speakers.,Standard BBC English speakers.,Scottish English speakers.,B
Chapter04,Which property is generally true about vowels when they occur in stressed syllables compared to unstressed syllables?,Vowels are shorter in stressed syllables.,Vowels are generally longer in stressed syllables.,Vowels are only found in reduced form when stressed.,Vowels become retroflex when stressed.,B
Chapter04,Why is the letter [y] reserved in the IPA instead of being used for the consonant sound in yes and yet?,To reserve [y] for a specific French vowel sound.,Because it is used for the glottal stop.,To avoid conflict with the German spelling system.,Because it is reserved for syllabic consonants.,A
Chapter04,"The term rhotacization refers to the auditory property of r-coloring, while the term retroflex refers to which characteristic related to r-coloring?",The manner of the airstream (approximant).,The position of the tongue tip (raised or curled back).,The degree of voicing.,The absence of a following /®/.,B
Chapter04,The diphthong [aI] (as in high) usually starts from a quality midway between which two vowels?,[i] and [u],[œ] and [A],[E] and [O],[I] and [Á],B
Chapter04,What is the primary cue that distinguishes the vowels in heed [i] and hid [I]?,The position of the alveolar ridge.,Differences in quality and length.,Differences in pharyngeal constriction.,The degree of nasalization.,B
Chapter04,"Which pronunciation dictionary uses the transcription style [∏±] for the vowel in American English bird, where the r-coloring diacritic [±] is used?",Oxford Dictionary of Pronunciation,Daniel Jones's EPD 18,John Wells's LPD 3,The Merriam-Webster Dictionary,C
Chapter04,"When you whisper a series of vowels (like heed, hid, head, had), what feature corresponds to the continuously descending pitch you hear?",The fundamental frequency (voice pitch).,The characteristic overtones (formants) that distinguish the vowels.,The nasalization of the vowels.,The degree of lip rounding.,B
Chapter04,"Which diacritic is used, usually placed above a symbol, to indicate that a sound is nasalized?",[… ] (length mark),[° ] (ligature),[~ ] (tilde),[} ] (unreleased),C
Chapter05,"What is the term for the form of a word that occurs when it is said by itself, typically featuring at least one fully stressed syllable and no vowel reduction?",Weak form,Conversational form,Citation form,Reduced form,C
Chapter05,"In connected speech, which class of words is least likely to be emphasized and thus most prone to phonetic reduction?",Nouns (Content words),Verbs (Content words),Adjectives,Closed-class words (Grammatical words),D
Chapter05,"What is the most common unstressed vowel into which full vowels often reduce in connected speech (e.g., in weak forms of to, the, at)?",[i],[I],[œ],[E] (schwa),D
Chapter05,"What phenomenon occurs when one sound is changed into another because of the influence of a neighboring sound (e.g., [n] changing to [n1] before [D] in in the)?",Epenthesis,Deletion,Assimilation,Plosion,C
Chapter05,"The kind of assimilation where the gesture for one sound is affected by anticipating the gesture for the next sound (e.g., lip rounding starting early for a following /w/) is called:",Perseverative assimilation,Regressive assimilation,Downstepping,Anticipatory coarticulation,D
Chapter05,"The process where the voicelessness of [t] in it is perseveres into the following sound, resulting in it's [Its], is an example of which type of assimilation?",Anticipatory assimilation,Perseverative assimilation,Epenthesis,Dentalization,B
Chapter05,"In words like an ""insult (noun) versus to in""sult (verb), what function does the stress alternation serve in English?",To indicate emotional state,To distinguish between aspiration and lack thereof,To indicate the syntactic category of the word,To signal new information,C
Chapter05,What physical action by the speaker defines a stressed syllable in citation forms?,Highest pitch,Greatest loudness,Greater respiratory energy,Shortest segment duration,C
Chapter05,What is the most reliable way for a listener to detect the presence of stress on a word or syllable?,Measuring the frequency of the vowel,Watching the speaker's lip movements,Trying to tap along with the beat of the word,Checking if the final consonant is released,C
Chapter05,"In a sentence like The ""psycholin""guistics ""course was ""fun, the greater prominence often felt on the later stressed syllable of psycholinguistics is actually due to what factor?",Greater inherent length,The presence of an unstressed vowel,The superimposition of the intonation pattern (tonic accent),Greater average vowel height,C
Chapter05,"In the phrase The big brown bear bit ten white mice, the tendency to avoid putting stress on every word is an example of the general rule that English avoids having stresses too close together, which is part of its what?",Strict metric timing,Stress-timed rhythm,Syllable-timed rhythm,Monotone intonation,B
Chapter05,"The pitch pattern in a sentence, due to continuous variations in laryngeal activity, is known as the:",Fundamental frequency,Tonic accent,Intonation,Stress level,C
Chapter05,The part of a sentence over which a particular pitch pattern extends is called a(n):,Grammatical clause,Word group,Syllable sequence,Intonational phrase,D
Chapter05,"In an intonational phrase with neutral intonation, the single syllable that stands out because it carries the major pitch change is called the:",Phrase accent,Boundary tone,Fundamental frequency,Tonic accent,D
Chapter05,"In neutral intonation (non-emphatic speech), the tonic accent usually occurs on which syllable?",The first syllable of the utterance,The first stressed syllable,The last stressed syllable in the tone group,The highest pitched syllable,C
Chapter05,"When an intonational phrase ends in a small rise, signaling that the speaker has not yet completed the utterance, this rise is called a(n):",Tonic accent,Downstep,Continuation rise,Glottal catch,C
Chapter05,"Questions in English that require a ""yes"" or ""no"" answer are typically pronounced with what kind of intonation contour?","A low, level pitch","A high, falling contour",A rising contour,A sharp fall-rise contour,C
Chapter05,"Questions in English that begin with wh-question words (where, when, who, why, what) are usually pronounced with what kind of intonation contour?",A rising contour,A level pitch,A falling pitch,"A high, flat pitch",C
Chapter05,"In the ToBI transcription system, the symbols H* and L* are used to represent which feature?",Syllable length,Pitch accents on stressed syllables,Boundary tones,Phrase accents,B
Chapter05,"In ToBI, a sharp rise in pitch onto a stressed syllable is transcribed as:",L*+H,H+!H*,L+H*,H−H%,C
Chapter05,"In ToBI, the high pitch accent that is a little lower than the preceding high pitch (a phenomenon known as downdrift) is written with which diacritic?",[:] (tilde through center),[’] (apostrophe),[!] (exclamation mark),[~] (tilde above),C
Chapter05,"The last pitch accent in an intonational phrase, which is always present, is specifically called the:",Boundary tone,Phrase accent,Nuclear pitch accent,Tonic stress,C
Chapter05,What are the two components used in the ToBI system to describe the pitch pattern after the nuclear pitch accent?,Break index and pitch accent,Fundamental frequency and formants,Phrase accent and boundary tone,Stress level and downdrift,C
Chapter05,The ToBI sequence L−L% defines which way to close a tune?,Rise,Low rise,Plateau,Fall,D
Chapter05,The ToBI sequence H−H% defines which way to close a tune?,Rise,Low rise,Plateau,Fall,A
Chapter05,"According to the spectrogram discussion in the source, how do stops generally appear visually on a spectrogram?",Dark parallel horizontal bands,Dark patches near the top,A white gap followed by a thin vertical stripe,A perfectly flat line,C
Chapter05,"According to the spectrogram discussion, how do vowels, approximants, and nasals generally appear visually?",Dark patches near the top,As anywhere from two to five roughly parallel horizontal dark bands,A white gap,A single thin vertical line,B
Chapter05,"In the phrase fact finding, where the alveolar stop [t] at the end of fact may be omitted or reduced, the problem of symbolizing whether the sound is ""there or not"" highlights the limitation of transcription when dealing with:",Lexical sets,Suprasegmentals,Gestural omission or partial gestures,Tense vs. lax vowels,C
Chapter05,"What is the term for the process in which a voiceless stop (e.g., /t/) is optionally inserted between a nasal and a voiceless fricative (e.g., prince sounding like prints)?",Anticipatory coarticulation,Deletion,Epenthesis,Assimilation,C
Chapter05,"What information is conveyed by the absolute values of pitch, length, or degree of stress in an utterance, rather than their linguistically significant relative values?",The semantic meaning,The speaker’s syntactic intent,"The speaker's age, sex, emotional state, and attitude",The difference between noun and verb forms,C
